Store ID,Store Location,Daily_Sales,Date Recorded
107,Mumbai,82290.0,2026-01-01
104,Delhi,87128.0,2026-01-02
108,Bangalore,41932.0,2026-01-03
105,Chennai,88020.0,2026-01-04
107,Delhi,41766.0,2026-01-05
103,Mumbai,52711.0,2026-01-06
107,Delhi,43292.0,2026-01-07
108,Kolkata,50687.0,2026-01-08
105,Delhi,77631.0,2026-01-09
104,Chennai,55899.0,2026-01-10
108,Mumbai,80154.0,2026-01-11
108,Kolkata,37408.0,2026-01-12
103,,1500000.0,2026-01-13
106,Delhi,70910.0,2026-01-14
105,Mumbai,64533.0,2026-01-15
102,Kolkata,45237.0,2026-01-16
108,Mumbai,88897.0,2026-01-17
106,Mumbai,35778.0,2026-01-18
102,Kolkata,65059.0,2026-01-19
105,,86882.0,2026-01-20
101,Bangalore,56561.0,2026-01-21
106,Mumbai,34866.0,2026-01-22
109,Mumbai,38429.0,2026-01-23
101,Delhi,73352.0,2026-01-24
103,Kolkata,74515.0,2026-01-25
107,Kolkata,52837.0,2026-01-26
104,Kolkata,80736.0,2026-01-27
109,Delhi,64075.0,2026-01-28
103,Bangalore,64853.0,2026-01-29
105,Mumbai,56395.0,2026-01-30
103,Mumbai,46415.0,2026-01-31
107,Kolkata,61986.0,2026-02-01
105,Delhi,54104.0,2026-02-02
109,Chennai,30291.0,2026-02-03
107,Chennai,33686.0,2026-02-04
102,,75347.0,2026-02-05
104,Kolkata,31642.0,2026-02-06
109,Kolkata,61477.0,2026-02-07
102,Bangalore,54150.0,2026-02-08
109,Delhi,38769.0,2026-02-09
105,Bangalore,59833.0,2026-02-10
102,Bangalore,33909.0,2026-02-11
104,Chennai,80375.0,2026-02-12
107,Chennai,62078.0,2026-02-13
108,Mumbai,42268.0,2026-02-14
103,Mumbai,1500000.0,2026-02-15
101,Delhi,38638.0,2026-02-16
104,Chennai,67141.0,2026-02-17
102,Chennai,41233.0,2026-02-18
108,Chennai,81731.0,2026-02-19
104,Mumbai,60496.0,2026-02-20
102,Mumbai,47806.0,2026-02-21
106,Kolkata,70326.0,2026-02-22
106,Kolkata,43271.0,2026-02-23
104,Bangalore,69513.0,2026-02-24
106,Chennai,81761.0,2026-02-25
102,Mumbai,49465.0,2026-02-26
102,Chennai,69502.0,2026-02-27
104,Kolkata,43860.0,2026-02-28
108,Chennai,38250.0,2026-03-01
107,Bangalore,71418.0,2026-03-02
109,Bangalore,79255.0,2026-03-03
108,Chennai,51310.0,2026-03-04
105,Chennai,88132.0,2026-03-05
102,Bangalore,79893.0,2026-03-06
105,Chennai,57982.0,2026-03-07
108,Delhi,62206.0,2026-03-08
109,,39764.0,2026-03-09
109,Kolkata,85596.0,2026-03-10
101,Mumbai,73661.0,2026-03-11
109,Bangalore,42842.0,2026-03-12
107,Delhi,67491.0,2026-03-13
109,Delhi,74372.0,2026-03-14
108,Mumbai,54043.0,2026-03-15
101,Chennai,67971.0,2026-03-16
108,Kolkata,32976.0,2026-03-17
108,Bangalore,37426.0,2026-03-18
103,Bangalore,52887.0,2026-03-19
101,Bangalore,56710.0,2026-03-20
108,Delhi,71387.0,2026-03-21
103,Delhi,77470.0,2026-03-22
103,Kolkata,36486.0,2026-03-23
101,,69258.0,2026-03-24
105,Bangalore,76882.0,2026-03-25
107,Chennai,81096.0,2026-03-26
109,,52623.0,2026-03-27
107,Delhi,53806.0,2026-03-28
109,Kolkata,35973.0,2026-03-29
108,Chennai,1500000.0,2026-03-30
102,Bangalore,88615.0,2026-03-31
101,Mumbai,78626.0,2026-04-01
107,Chennai,75939.0,2026-04-02
107,Kolkata,79085.0,2026-04-03
108,Delhi,59157.0,2026-04-04
105,Bangalore,35521.0,2026-04-05
103,Delhi,42891.0,2026-04-06
108,Kolkata,46795.0,2026-04-07
106,Bangalore,52474.0,2026-04-08
103,Kolkata,56507.0,2026-04-09
101,Mumbai,40687.0,2026-04-10
103,Delhi,63014.0,2026-04-11
105,Delhi,41009.0,2026-04-12
103,Mumbai,53226.0,2026-04-13
101,Mumbai,52948.0,2026-04-14
105,Bangalore,64939.0,2026-04-15
107,Delhi,74291.0,2026-04-16
107,Bangalore,78296.0,2026-04-17
109,Mumbai,78044.0,2026-04-18
103,Bangalore,86430.0,2026-04-19
107,Chennai,70225.0,2026-04-20
101,Chennai,52102.0,2026-04-21
104,,64828.0,2026-04-22
104,Delhi,66102.0,2026-04-23
105,Bangalore,75855.0,2026-04-24
107,Bangalore,86342.0,2026-04-25
107,Bangalore,63712.0,2026-04-26
104,Chennai,56823.0,2026-04-27
107,Bangalore,35361.0,2026-04-28
103,Bangalore,55838.0,2026-04-29
106,Bangalore,44638.0,2026-04-30
102,,68052.0,2026-05-01
109,,53265.0,2026-05-02
105,Mumbai,54751.0,2026-05-03
106,Delhi,72012.0,2026-05-04
104,Kolkata,40916.0,2026-05-05
107,,89926.0,2026-05-06
109,Mumbai,39509.0,2026-05-07
107,Mumbai,75532.0,2026-05-08
101,,61102.0,2026-05-09
101,Chennai,77659.0,2026-05-10
109,Mumbai,54324.0,2026-05-11
109,Bangalore,44003.0,2026-05-12
104,,57943.0,2026-05-13
109,Kolkata,72634.0,2026-05-14
103,Chennai,63101.0,2026-05-15
107,Chennai,59943.0,2026-05-16
106,Delhi,39456.0,2026-05-17
108,Kolkata,41369.0,2026-05-18
109,Mumbai,49329.0,2026-05-19
105,,43218.0,2026-05-20
101,Mumbai,51164.0,2026-05-21
103,Kolkata,67424.0,2026-05-22
108,Mumbai,1500000.0,2026-05-23
